wpm,raw,accuracy,consistency,date,epoch,song,track uri,tempo (bpm),artist genres
132.0,135.2,98.22%,89.51%,04 Mar 2023  09:59,1677952740,no_matches,no_matches,no_matches,no_matches
111.2,132.8,92.77%,87.89%,04 Mar 2023  09:58,1677952680,no_matches,no_matches,no_matches,no_matches
100.73,129.51,84.76%,79.83%,04 Mar 2023  09:58,1677952680,no_matches,no_matches,no_matches,no_matches
109.53,115.92,95.89%,77.66%,04 Mar 2023  00:07,1677917220,Black Sheep,spotify:track:72hSmnleYTiiOo23q8ZJIS,124.014,"canadian indie, canadian rock, indie rock, indietronica, metropopolis, neo-synthpop"
115.2,128.0,96.25%,88.31%,03 Mar 2023  21:15,1677906900,no_matches,no_matches,no_matches,no_matches
127.2,133.6,97.63%,78.39%,03 Mar 2023  21:14,1677906840,no_matches,no_matches,no_matches,no_matches
125.43,139.81,96.00%,84.14%,03 Mar 2023  19:33,1677900780,Let's Fall in Love for the Night,spotify:track:6I0KEvFfWszVJiCy5hum4V,127.918,"alt z, la indie, pop, pov: indie"
116.57,130.14,93.87%,78.52%,03 Mar 2023  17:11,1677892260,A Concert Six Months From Now,spotify:track:7aDIsG4RJx4THcSEMeM01x,138.756,"alt z, la indie, pop, pov: indie"
117.52,151.9,86.91%,84.43%,02 Mar 2023  23:32,1677828720,no_matches,no_matches,no_matches,no_matches
118.32,134.31,91.23%,80.84%,01 Mar 2023  15:55,1677714900,no_matches,no_matches,no_matches,no_matches
108.8,118.4,94.67%,85.39%,28 Feb 2023  19:30,1677641400,no_matches,no_matches,no_matches,no_matches
97.53,108.73,92.86%,66.89%,28 Feb 2023  16:45,1677631500,no_matches,no_matches,no_matches,no_matches
119.92,134.31,93.60%,77.51%,28 Feb 2023  10:09,1677607740,no_matches,no_matches,no_matches,no_matches
118.32,135.11,92.40%,84.37%,27 Feb 2023  14:12,1677535920,no_matches,no_matches,no_matches,no_matches
99.13,120.72,89.54%,76.47%,25 Feb 2023  11:00,1677351600,no_matches,no_matches,no_matches,no_matches
131.91,147.9,95.14%,87.21%,24 Feb 2023  20:15,1677298500,no_matches,no_matches,no_matches,no_matches
115.92,124.72,95.57%,80.13%,24 Feb 2023  09:59,1677261540,no_matches,no_matches,no_matches,no_matches
104.73,129.51,90.80%,82.26%,24 Feb 2023  09:05,1677258300,no_matches,no_matches,no_matches,no_matches
111.2,120.8,97.37%,78.42%,24 Feb 2023  05:31,1677245460,no_matches,no_matches,no_matches,no_matches
101.6,118.4,93.96%,80.73%,24 Feb 2023  01:35,1677231300,Alligator,spotify:track:5orYDcrc0j8Wn6RCgDbSPG,120.019,"alternative emo, pov: indie"
122.32,126.32,97.50%,84.82%,24 Feb 2023  00:02,1677225720,no_matches,no_matches,no_matches,no_matches
97.53,121.52,91.50%,82.76%,23 Feb 2023  11:50,1677181800,no_matches,no_matches,no_matches,no_matches
117.6,129.6,95.12%,84.53%,21 Feb 2023  18:39,1677033540,no_matches,no_matches,no_matches,no_matches
115.12,119.92,96.71%,80.64%,21 Feb 2023  18:38,1677033480,no_matches,no_matches,no_matches,no_matches
112.8,112.8,97.93%,78.74%,21 Feb 2023  18:31,1677033060,no_matches,no_matches,no_matches,no_matches
111.2,121.6,94.16%,77.66%,21 Feb 2023  18:18,1677032280,no_matches,no_matches,no_matches,no_matches
100.0,133.6,86.47%,80.49%,21 Feb 2023  18:07,1677031620,no_matches,no_matches,no_matches,no_matches
120.8,146.4,91.85%,83.84%,21 Feb 2023  18:07,1677031620,no_matches,no_matches,no_matches,no_matches
139.2,142.4,98.88%,91.94%,21 Feb 2023  18:07,1677031620,no_matches,no_matches,no_matches,no_matches
97.6,122.4,83.85%,69.49%,21 Feb 2023  17:31,1677029460,no_matches,no_matches,no_matches,no_matches
119.92,130.31,95.76%,82.43%,20 Feb 2023  01:02,1676883720,no_matches,no_matches,no_matches,no_matches
113.52,124.72,96.15%,87.94%,20 Feb 2023  00:33,1676881980,no_matches,no_matches,no_matches,no_matches
121.52,139.91,92.57%,88.43%,19 Feb 2023  23:21,1676877660,Mood Ring,spotify:track:7rb4dcBfW0m1LQQcDCh4Hv,95.011,"art pop, metropopolis, nz pop, pop"
90.34,127.91,87.50%,83.70%,19 Feb 2023  17:08,1676855280,no_matches,no_matches,no_matches,no_matches
100.0,134.4,89.53%,82.02%,18 Feb 2023  20:40,1676781600,no_matches,no_matches,no_matches,no_matches
125.52,125.52,96.91%,84.43%,18 Feb 2023  20:40,1676781600,no_matches,no_matches,no_matches,no_matches
99.13,113.52,92.96%,83.25%,18 Feb 2023  20:28,1676780880,no_matches,no_matches,no_matches,no_matches
111.13,126.32,91.82%,81.84%,18 Feb 2023  20:21,1676780460,no_matches,no_matches,no_matches,no_matches
117.52,131.91,94.61%,85.75%,18 Feb 2023  20:20,1676780400,no_matches,no_matches,no_matches,no_matches
118.32,133.51,93.41%,85.75%,18 Feb 2023  14:32,1676759520,Sober,spotify:track:7eElVgPcxDqmgGrSwVFI74,107.901,"atl hip hop, hip hop, rap"
114.4,130.4,94.48%,83.24%,18 Feb 2023  14:31,1676759460,Perfect Places,spotify:track:7ARveOiD31w2Nq0n5FsSf8,104.41,"art pop, metropopolis, nz pop, pop"
123.2,141.6,92.66%,80.38%,18 Feb 2023  13:41,1676756460,no_matches,no_matches,no_matches,no_matches
99.93,106.33,97.76%,81.51%,18 Feb 2023  13:22,1676755320,no_matches,no_matches,no_matches,no_matches
125.52,133.51,96.43%,86.48%,18 Feb 2023  13:15,1676754900,no_matches,no_matches,no_matches,no_matches
127.91,131.91,97.01%,83.32%,18 Feb 2023  11:21,1676748060,no_matches,no_matches,no_matches,no_matches
123.92,130.31,98.16%,88.92%,18 Feb 2023  11:21,1676748060,no_matches,no_matches,no_matches,no_matches
92.74,143.1,84.44%,84.19%,18 Feb 2023  11:19,1676747940,no_matches,no_matches,no_matches,no_matches
129.51,141.51,94.92%,82.44%,18 Feb 2023  11:18,1676747880,Still Sane,spotify:track:5TRZnGsX49uCZkXxIbD7Ru,131.601,"art pop, metropopolis, nz pop, pop"
115.12,127.12,94.41%,78.63%,18 Feb 2023  11:16,1676747760,no_matches,no_matches,no_matches,no_matches
116.0,134.4,91.76%,84.66%,18 Feb 2023  11:15,1676747700,no_matches,no_matches,no_matches,no_matches
131.11,142.31,96.11%,83.06%,18 Feb 2023  10:15,1676744100,no_matches,no_matches,no_matches,no_matches
